USDMXN.X.Open,USDMXN.X.High,USDMXN.X.Low,USDMXN.X.Close,USDMXN.X.Volume,USDMXN.X.Adjusted
10.798,10.815,10.747,10.785,0,10.785
10.7815,10.798,10.728,10.756,0,10.756
10.734,10.7832,10.723,10.7658,0,10.7658
10.7723,10.778,10.727,10.748,0,10.748
10.732,10.808,10.732,10.79,0,10.79
10.7895,10.807,10.741,10.776,0,10.776
10.757,10.77,10.719,10.7555,0,10.7555
10.733,10.8535,10.733,10.8518,0,10.8518
10.829,10.8585,10.777,10.7995,0,10.7995
10.777,10.8115,10.73,10.7525,0,10.7525
10.7525,10.7757,10.726,10.759,0,10.759
10.757,10.7843,10.727,10.759,0,10.759
10.7798,10.7865,10.707,10.747,0,10.747
10.7525,10.772,10.705,10.7253,0,10.7253
10.7245,10.75,10.681,10.745,0,10.745
10.725,10.79855,10.724,10.787,0,10.787
10.778,10.788,10.731,10.742,0,10.742
10.74,10.8423,10.74,10.8326,0,10.8326
10.8306,10.8793,10.78,10.864,0,10.864
10.845,10.995,10.827,10.957,0,10.957
10.955,11.0172,10.923,11.005,0,11.005
10.9824,11.0253,10.889,10.889,0,10.889
10.9732,10.989,10.866,10.9875,0,10.9875
10.9895,11.0335,10.92,10.9439,0,10.9439
10.922,10.957,10.8905,10.9437,0,10.9437
10.922,11.008,10.913,10.958,0,10.958
10.989,11.0134,10.926,10.9449,0,10.9449
10.9424,10.9875,10.8601,10.9468,0,10.9468
10.9406,10.958,10.89,10.924,0,10.924
10.922,11.014,10.913,10.998,0,10.998
11,11.0485,10.958,10.994,0,10.994
11.0192,11.03,10.952,11.004,0,11.004
11.023,11.0963,10.983,11.095,0,11.095
11.0955,11.2048,11.065,11.2035,0,11.2035
11.1995,11.32115,11.149,11.1715,0,11.1715
11.151,11.2552,11.055,11.129,0,11.129
11.0605,11.14131,11.037,11.1168,0,11.1168
11.115,11.143,11.078,11.1378,0,11.1378
11.138,11.139,11.017,11.0375,0,11.0375
11.0363,11.0869,10.986,11.044,0,11.044
11.074,11.0875,10.982,11.026,0,11.026
10.99,11.0689,10.975,11.042,0,11.042
11.06,11.15,11.034,11.15,0,11.15
11.132,11.1524,11.047,11.0695,0,11.0695
11.072,11.1083,11.05,11.082,0,11.082
11.0753,11.0753,11.002,11.029,0,11.029
11.013,11.0311,10.987,11.001,0,11.001
11.002,11.05334,10.995,11.024,0,11.024
11.0194,11.0941,11.004,11.0755,0,11.0755
11.0745,11.0891,11.025,11.0519,0,11.0519
11.031,11.15,11.03,11.122,0,11.122
NA,NA,NA,NA,NA,NA
11.094,11.144,11.049,11.052,0,11.052
11.053,11.105,11.037,11.077,0,11.077
11.0929,11.1195,11.046,11.112,0,11.112
11.092,11.1302,11.07,11.106,0,11.106
11.114,11.1503,11.094,11.132,0,11.132
11.1332,11.14,10.971,10.981,0,10.981
10.9825,11.0088,10.955,10.9885,0,10.9885
10.9836,11.007,10.939,10.9847,0,10.9847
10.968,10.9955,10.918,10.942,0,10.942
10.945,10.9555,10.904,10.945,0,10.945
10.933,10.9865,10.901,10.901,0,10.901
10.9229,10.935,10.888,10.909,0,10.909
10.9101,10.9288,10.867,10.9162,0,10.9162
10.9135,10.94,10.894,10.927,0,10.927
10.922,10.9595,10.863,10.8794,0,10.8794
10.8802,10.9256,10.867,10.906,0,10.906
10.8961,10.9141,10.839,10.9063,0,10.9063
10.9058,10.918,10.847,10.8686,0,10.8686
10.8686,10.887,10.815,10.844,0,10.844
10.822,10.861,10.812,10.8418,0,10.8418
10.8378,10.8556,10.797,10.826,0,10.826
10.8237,10.8541,10.793,10.8201,0,10.8201
10.81988,10.8362,10.776,10.834,0,10.834
10.8274,10.841,10.779,10.82,0,10.82
10.774,10.828,10.765,10.8099,0,10.8099
10.8053,10.8493,10.789,10.834,0,10.834
10.8062,10.8445,10.777,10.8031,0,10.8031
10.8041,10.83696,10.758,10.7759,0,10.7759
10.7794,10.8237,10.743,10.791,0,10.791
10.8114,10.862,10.796,10.8178,0,10.8178
10.792,10.83548,10.786,10.823,0,10.823
10.802,10.8508,10.796,10.837,0,10.837
10.8282,10.839,10.785,10.802,0,10.802
10.7974,10.81677,10.706,10.757,0,10.757
10.708,10.7275,10.683,10.7012,0,10.7012
10.685,10.73535,10.685,10.729,0,10.729
10.729,10.73,10.628,10.6369,0,10.6369
10.618,10.713,10.618,10.657,0,10.657
10.677,10.709,10.64,10.674,0,10.674
10.6822,10.7415,10.672,10.7127,0,10.7127
10.7128,10.7166,10.67,10.6972,0,10.6972
10.6968,10.8138,10.658,10.8118,0,10.8118
10.8095,10.8388,10.75,10.789,0,10.789
10.7875,10.8958,10.757,10.879,0,10.879
10.8849,10.94763,10.8789,10.9359,0,10.9359
10.9349,10.944,10.827,10.829,0,10.829
10.8475,10.906,10.826,10.9016,0,10.9016
10.9002,10.9429,10.88,10.928,0,10.928
10.9279,10.94303,10.892,10.927,0,10.927
10.9187,11.0067,10.892,10.985900000000001,0,10.985900000000001
10.9852,11.003,10.931,10.9569,0,10.9569
10.9587,11.0195,10.954,10.984,0,10.984
10.996,10.996,10.942,10.9608,0,10.9608
10.9608,10.9854,10.944,10.969,0,10.969
NA,NA,NA,NA,NA,NA
11.0059,11.0202,10.942,10.945,0,10.945
10.9595,10.9711,10.894,10.9119,0,10.9119
10.9132,10.9567,10.892,10.9061,0,10.9061
10.905,10.933,10.858,10.896,0,10.896
10.8896,10.95,10.875,10.8978,0,10.8978
10.884,10.9268,10.854,10.8757,0,10.8757
