GC.F.Open,GC.F.High,GC.F.Low,GC.F.Close,GC.F.Volume,GC.F.Adjusted
662.5,662.5,662.5,662.5,0,662.5
660.299988,660.299988,660.299988,660.299988,6,660.299988
665,665,665,666.700012,2,666.700012
666.700012,666.700012,666.700012,665.799988,8,665.799988
667.099976,667.099976,667.099976,665,1,665
664.700012,664.700012,664.700012,664.700012,0,664.700012
672.599976,672.599976,672.599976,672.599976,0,672.599976
677.200012,677.200012,677.200012,677.200012,0,677.200012
683.900024,683.900024,683.900024,683.900024,0,683.900024
680.799988,680.799988,680.799988,680.799988,0,680.799988
684.200012,684.200012,684.200012,684.200012,0,684.200012
673.299988,673.299988,673.299988,673.299988,0,673.299988
662.5,662.5,662.5,662.5,0,662.5
660,660,660,660,95749,660
659.900024,665.200012,659.299988,664.099976,36526,664.099976
665,668.299988,662.599976,666.900024,5769,666.900024
663.200012,666.299988,658.5,663.599976,2026,663.599976
666.700012,666.700012,662.799988,664.599976,1062,664.599976
665.799988,674.400024,665.700012,672.5,575,672.5
672.099976,672.099976,668.799988,671.5,212,671.5
670,670,666.5,670.599976,313,670.599976
674.700012,676.200012,674,674.5,136,674.5
667.799988,667.799988,661.400024,661.400024,377,661.400024
659.5,673.400024,659.5,670.299988,1101,670.299988
669.900024,671,668.599976,669.700012,52,669.700012
665,670.5,665,668.599976,106,668.599976
665,669.700012,662.5,668.900024,845,668.900024
665.200012,665.200012,642.900024,648.299988,130,648.299988
648.400024,657.700012,648.400024,656.900024,219,656.900024
658.599976,660,658.599976,656.700012,189,656.700012
657.900024,658.400024,657.5,656.700012,9,656.700012
658.900024,661.099976,658.900024,659.099976,303,659.099976
663.599976,663.700012,663.200012,658.900024,135,658.900024
662.099976,668.799988,662.099976,668,208,668
667.900024,668,666,666.799988,77,666.799988
665.5,665.900024,664.200012,664.400024,22,664.400024
667,667.700012,667,666.299988,78,666.299988
665.5,666.5,665.5,665,186,665
672.5,672.799988,672.5,673,186,673
682.5,682.5,682.5,682.5,0,682.5
678.599976,679.099976,678.599976,681.700012,80,681.700012
692.200012,692.400024,692.200012,695.599976,2,695.599976
700.799988,700.799988,700.799988,700.799988,1,700.799988
704.5,705,702,703.299988,43,703.299988
703.5,703.5,702.799988,712.200012,55,712.200012
713.900024,713.900024,712.5,711.900024,6,711.900024
706.900024,707.400024,706.900024,709.5,19,709.5
717.200012,717.200012,714.900024,709.599976,33,709.599976
719.099976,719.099976,719.099976,715.799988,36,715.799988
715.799988,715.799988,715.799988,715.799988,104,715.799988
724.599976,724.599976,724.599976,722,12,722
732.400024,732.400024,732.400024,732.400024,12,732.400024
731.400024,731.400024,731.400024,731.400024,6,731.400024
732.099976,732.099976,732.099976,732.099976,150,732.099976
731.599976,731.599976,731.599976,731.599976,60,731.599976
728.299988,728.299988,728.299988,728.299988,12901,728.299988
728.200012,735.5,727.400024,732.700012,11841,732.700012
733.700012,745.700012,733.700012,742.799988,2004,742.799988
745.099976,747.400024,741.799988,747.200012,644,747.200012
746.5,746.5,726.5,729.799988,319,729.799988
727.599976,732.5,726.700012,729.299988,61,729.299988
725.099976,736.799988,724.299988,737.799988,17,737.799988
731,741.700012,731,741.299988,6,741.299988
735.200012,737,732.400024,732.799988,88,732.799988
736.099976,736.5,735.5,737.400024,44,737.400024
740.900024,741,740.700012,740.400024,32,740.400024
747.400024,749.700012,746,751.299988,180,751.299988
750.400024,750.400024,748.700012,748.700012,371,748.700012
758,759.599976,757.900024,757.099976,344,757.099976
762.400024,762.400024,756.099976,757,151,757
760,760,757,757.5,45,757.5
765.799988,765.799988,765.799988,764.099976,9,764.099976
765.200012,765.200012,762.700012,764,7,764
766.700012,766.700012,751.900024,755.799988,60,755.799988
755.700012,756,756,759,7,759
758.200012,758.200012,753.5,761.599976,55,761.599976
767.900024,767.900024,767.900024,767.299988,10,767.299988
771.400024,783.400024,771.400024,783.900024,81,783.900024
793.799988,793.799988,787.299988,789.099976,9,789.099976
785.5,785.5,780.700012,784.299988,168,784.299988
789.299988,795.400024,789.299988,792,12,792
785.299988,791.299988,785.299988,790.700012,4,790.700012
794.099976,806.5,794.099976,805.700012,4,805.700012
804.599976,804.599976,804.200012,808.099976,17,808.099976
821.900024,825.299988,821.900024,820.799988,4,820.799988
830,831.200012,830,831,3,831
829.799988,841.299988,829.799988,835.200012,8,835.200012
835.700012,835.799988,831.700012,832.5,7,832.5
803.900024,803.900024,798.700012,805.799988,3,805.799988
804.299988,804.299988,800,797.200012,6,797.200012
816.700012,817,816.700012,813,11,813
794.5,794.5,793.700012,785.900024,0,785.900024
785.700012,785.700012,785.700012,785.700012,0,785.700012
777.599976,777.599976,777.599976,776.799988,1,776.799988
792.900024,802.5,792.900024,790.299988,5,790.299988
797.599976,797.599976,797.599976,797.599976,5,797.599976
NA,NA,NA,NA,NA,NA
826,826,826,826,6,826
823.200012,824.799988,812.5,813.700012,32,813.700012
800.099976,800.099976,800.099976,800.099976,165342,800.099976
804,807.799988,791.900024,795.299988,66669,795.299988
795,798.599976,778.400024,782.200012,7212,782.200012
783.900024,794.599976,777,788.299988,3728,788.299988
794,805,787.200012,801.299988,925,801.299988
802.200012,803.900024,791.700012,797.5,389,797.5
794.400024,804.799988,786.5,801.200012,332,801.200012
800.700012,801.200012,792,794.400024,218,794.400024
799.299988,809.700012,799.299988,807.700012,274,807.700012
808.099976,812,796,811.400024,347,811.400024
809.700012,815.900024,809.599976,813.5,291,813.5
810.299988,810.299988,792.700012,799,200,799
800.299988,803.5,789.599976,793.299988,196,793.299988
793.5,794.5,788.400024,794.799988,115,794.799988
793,804.799988,793,803,72,803
799.200012,804,799.099976,801.099976,68,801.099976
799.5,800,794.200012,799.200012,114,799.200012
800,812.5,800,811.599976,64,811.599976
NA,NA,NA,NA,NA,NA
815.700012,826.900024,815.700012,826,36,826
824.799988,832.5,824.799988,828.599976,160,828.599976
826.599976,840.200012,826.599976,839.599976,107,839.599976
843.200012,843.200012,843.200012,834.900024,4,834.900024
848.700012,857.799988,846.400024,857,130,857
863,865.5,856.299988,866.400024,181,866.400024
861.400024,865.5,860.200012,863.099976,28,863.099976
860.900024,860.900024,857.400024,859.599976,4,859.599976
861.599976,879.400024,861.599976,878,21,878
885,885,876,879.5,48,879.5
882,891.400024,881.200012,891.700012,6,891.700012
889.799988,899.700012,889.700012,896.099976,183,896.099976
907.299988,907.299988,905,901.599976,89,901.599976
887.599976,887.599976,887.599976,901,101,901
880.5,885.799988,880.5,880.599976,102,880.599976
888.200012,888.200012,876.799988,879.5,11,879.5
871.799988,886.799988,871,880.799988,30,880.799988
878.700012,891,863.200012,889.599976,30,889.599976
885,895.700012,880,882.5,49,882.5
890.900024,906.599976,890.900024,905.5,6,905.5
910.5,910.5,910.5,910.5,6,910.5
916.599976,922,914.5,927.099976,25,927.099976
925,925,925,925.099976,157692,925.099976
924.400024,936.299988,915.299988,920.599976,68820,920.599976
928.200012,928.599976,918.299988,922.700012,4289,922.700012
924.799988,936.200012,903.700012,908.700012,2152,908.700012
903.700012,912,892.5,904.900024,1493,904.900024
905.099976,905.200012,884.700012,885.900024,476,885.900024
887.900024,910,887.5,900.700012,430,900.700012
900.599976,909.299988,896.400024,906.099976,463,906.099976
915.299988,920,911.5,918.400024,339,918.400024
920.700012,926.900024,917.5,922.900024,181,922.900024
921,924.799988,904.200012,907.400024,278,907.400024
903,909.400024,897.200012,906.5,89,906.5
904,911,904,907.400024,128,907.400024
910.099976,913.599976,898.700012,902.799988,128,902.799988
904.299988,928.799988,900.5,926.599976,174,926.599976
926.5,945,919.599976,934.599976,73,934.599976
940.099976,953.400024,940.099976,946.099976,138,946.099976
944.900024,948.5,942.5,944.700012,79,944.700012
946.5,948.900024,933,937.599976,312,937.599976
931.299988,949,931.299988,946.099976,224,946.099976
960,960,955,958.200012,215,958.200012
957.400024,972.099976,954.400024,964.5,238,964.5
971.400024,973.099976,963.5,972.099976,39,972.099976
984.200012,986.900024,979.700012,981.5,26,981.5
982.400024,984.5,963.799988,963.900024,41,963.900024
965,992.700012,963.900024,986.200012,45,986.200012
984.299988,987.700012,973.400024,975,46,975
982.799988,984.900024,972.400024,972.200012,96,972.200012
975.5,976.799988,964.700012,969.900024,92,969.900024
975.700012,976.700012,971.5,974.200012,12,974.200012
973.599976,979.299988,973.5,978.799988,6,978.799988
983.700012,998.5,983.700012,992.299988,10,992.299988
993.900024,1004.599976,993,998.200012,27,998.200012
1005,1014.599976,996.400024,1001.400024,82,1001.400024
