EURJPY.X.Open,EURJPY.X.High,EURJPY.X.Low,EURJPY.X.Close,EURJPY.X.Volume,EURJPY.X.Adjusted
163.589996,163.610001,163.229996,163.589996,0,163.589996
163.610992,163.960999,163.389999,163.550003,0,163.550003
163.539993,163.639999,162.850006,162.970001,0,162.970001
162.970001,163.800003,162.240005,163.679993,0,163.679993
163.740997,163.789993,163.539993,163.699997,0,163.699997
163.710007,164.266006,162.970001,163.479996,0,163.479996
163.490005,163.660004,162.970001,163.311005,0,163.311005
163.320007,163.949997,163.029999,163.800003,0,163.800003
163.800003,164.220001,163.550003,164.080002,0,164.080002
164.009995,164.410004,163.860001,164.190002,0,164.190002
164.190002,164.570007,163.910004,164.009995,0,164.009995
164.024994,164.380005,163.240005,163.300003,0,163.300003
163.311005,163.949997,162.279999,162.289993,0,162.289993
162.300003,162.860001,161.75,162.570007,0,162.570007
162.539993,162.759995,162.080002,162.580002,0,162.580002
162.550003,162.679993,161.779999,161.809998,0,161.809998
161.809998,163.350006,161.550003,163.158005,0,163.158005
163.145004,163.779999,163.059998,163.679993,0,163.679993
163.679993,165.320007,163.660004,165.070007,0,165.070007
165.279999,165.970001,165.190002,165.925995,0,165.925995
165.889999,166.070007,165.300003,165.669998,0,165.669998
165.649994,166.001007,165.210007,165.339996,0,165.339996
165.339996,165.729996,165.330002,165.699997,0,165.699997
165.699997,166.910004,165.639999,166.830002,0,166.830002
166.800003,166.889008,165.929993,166.389999,0,166.389999
166.369995,166.419998,165.110001,165.470001,0,165.470001
165.451004,165.740005,164.259995,165.720001,0,165.720001
165.699997,165.929993,165.240005,165.615997,0,165.615997
165.600006,166.919998,165.460007,166.690002,0,166.690002
166.679993,166.850006,166.149994,166.610001,0,166.610001
166.619995,167.147995,166.259995,166.699997,0,166.699997
166.699997,167.070007,166.320007,167.009995,0,167.009995
167.009995,167.279999,166.779999,167.160004,0,167.160004
167.139999,168.139999,167.039993,167.970001,0,167.970001
168.210007,168.470001,167.919998,168.050003,0,168.050003
168.070007,168.300003,166.608002,166.899994,0,166.899994
166.889999,168.360001,166.559998,168.119995,0,168.119995
168.169998,168.839996,167.820007,168.699997,0,168.699997
168.690002,168.910004,168,168.110001,0,168.110001
168.160004,168.289993,167.699997,167.75,0,167.75
167.809998,168.699997,167.720001,168.240005,0,168.240005
168.240997,168.479996,167.970001,168.279999,0,168.279999
168.279999,168.789993,168.100006,168.479996,0,168.479996
168.490005,168.811005,167.169998,167.729996,0,167.729996
167.869995,167.949997,166.979996,167.089996,0,167.089996
167.039993,167.320007,165.860001,166.169998,0,166.169998
166.220001,166.279999,164.729996,165.279999,0,165.279999
165.289993,165.468002,162.240005,162.850006,0,162.850006
162.850006,163.899994,161.509995,161.710007,0,161.710007
161.330002,163.485992,161.160004,163.339996,0,163.339996
163.360001,163.774994,161.839996,161.919998,0,161.919998
161.899994,162.929993,160.490005,162.720001,0,162.720001
162.710007,163.479996,161.600006,163.300003,0,163.300003
163.300003,163.710007,162.25,162.710007,0,162.710007
162.460007,164.199997,162.199997,163.929993,0,163.929993
163.910004,164.100006,162.350006,163.25,0,163.25
163.229996,165.369995,163.229996,165.199997,0,165.199997
165.210007,165.259995,161.539993,161.75,0,161.75
161.720001,162.449997,160,162.190002,0,162.190002
162.059998,162.160004,160.610001,160.899994,0,160.899994
160.914993,160.960007,158.820007,158.910004,0,158.910004
158.899994,159.119995,156,156.169998,0,156.169998
156.210007,156.432007,150.039993,153.119995,0,153.119995
153.130005,155.190002,149.509995,153.960007,0,153.960007
153.449997,155.889999,153.399994,154.699997,0,154.699997
154.75,155.300003,153.485001,153.580002,0,153.580002
153.580002,156.660004,153.559998,156.630005,0,156.630005
156.639999,159.080002,156.539993,157.300003,0,157.300003
157.320007,159.330002,156.630005,159.100006,0,159.100006
159.559998,159.649994,157.360001,157.570007,0,157.570007
157.570007,158.119995,155.229996,155.460007,0,155.460007
155.460007,158.949997,154.509995,158.369995,0,158.369995
158.350006,158.399994,156.820007,158.149994,0,158.149994
158.179993,159.470001,157.429993,157.979996,0,157.979996
157.979996,158.410004,157.610001,157.610001,0,157.610001
157.600006,158.399994,156.589996,158.300003,0,158.300003
158.289993,158.630005,156.770004,157.160004,0,157.160004
157.179993,158.179993,156.770004,158.024002,0,158.024002
158.020004,158.259995,155.740005,156.160004,0,156.160004
NA,NA,NA,NA,NA,NA
156.729996,158.259995,156.389999,158.100006,0,158.100006
158.110001,158.895004,157.770004,158.710007,0,158.710007
158.720001,160.429993,158.559998,158.910004,0,158.910004
158.929993,160.179993,158.850006,159.979996,0,159.979996
159.699997,160.117996,159,159.479996,0,159.479996
159.479996,162.479996,158.839996,162.029999,0,162.029999
162.029999,162.399994,161.460007,162.014999,0,162.014999
162.020004,162.350006,160.779999,161.380005,0,161.380005
161.380005,162.839996,161.339996,162.720001,0,162.720001
162.419998,162.539993,161.509995,161.669998,0,161.669998
161.639999,162.373001,161.020004,162.25,0,162.25
162.240005,163.429993,162.070007,163.119995,0,163.119995
163.132996,163.899994,163.009995,163.520004,0,163.520004
163.5,163.940002,162.740005,163.940002,0,163.940002
163.800003,165.020004,163.740005,164.809998,0,164.809998
164.820007,164.869995,163.600006,163.740005,0,163.740005
163.75,165.25,163.630005,164.350006,0,164.350006
164.309998,164.820007,163.949997,164.570007,0,164.570007
164.550003,165.389999,164.309998,165.089996,0,165.089996
165.460007,165.632004,164.660004,164.779999,0,164.779999
164.789993,165.389999,164.139999,165.309998,0,165.309998
165.300003,166.210007,165.149994,165.619995,0,165.619995
165.639999,167.602997,165.550003,166.679993,0,166.679993
166.639999,167.089996,166.119995,166.669998,0,166.669998
166.580002,167.673996,166.300003,166.639999,0,166.639999
166.639999,166.891998,164.919998,165.759995,0,165.759995
165.779999,166.371002,164.639999,165.570007,0,165.570007
165.539993,166.100006,164.850006,165.020004,0,165.020004
165.020004,165.240005,163.449997,163.779999,0,163.779999
162.929993,163.639999,160.649994,162.259995,0,162.259995
162.237,163.940002,162.054993,163.729996,0,163.729996
163.744003,163.869003,161.787994,162.789993,0,162.789993
162.830002,163.940002,162.429993,163.195999,0,163.195999
163.287003,164.559998,163.199997,164.369995,0,164.369995
164.520004,165.479996,164.410004,165.369995,0,165.369995
165.320007,165.860001,164.440002,165.740005,0,165.740005
165.720001,167.270004,165.380005,166.970001,0,166.970001
166.979996,167.179993,165,165.110001,0,165.110001
165.229996,166.998993,165.100006,166.619995,0,166.619995
166.169998,166.369995,164.960007,165.5,0,165.5
165.490005,167.119995,165.488007,167.039993,0,167.039993
167.029999,167.518997,164.139999,164.660004,0,164.660004
164.649994,166.130005,164.539993,165.449997,0,165.449997
165.449997,165.960007,162.210007,162.380005,0,162.380005
162.110001,162.320007,158.779999,159.220001,0,159.220001
159.248993,162.600006,159.139999,162.490005,0,162.490005
162.460007,164.123993,162.380005,163.033005,0,163.033005
163.020004,163.720001,161.080002,161.511993,0,161.511993
161.509995,163.207993,160.548004,162.440002,0,162.440002
162.589996,163.052002,160.740005,160.970001,0,160.970001
160.990005,163.289993,160.5,162.75,0,162.75
162.729996,162.807007,160.210007,160.960007,0,160.960007
160.880005,162.210007,160.880005,161.169998,0,161.169998
161.110001,161.619995,159.550003,160.300003,0,160.300003
161.210007,161.449997,160.970001,161.210007,0,161.210007
159.740005,161.768997,159.460007,161.449997,0,161.449997
161.460007,163.550003,160.300003,163.160004,0,163.160004
163.210007,163.580002,161.610001,161.990005,0,161.990005
161.990005,163.764999,161.990005,163.130005,0,163.130005
162.600006,162.649994,161.449997,162.020004,0,162.020004
162.039993,162.320007,160.960007,162.160004,0,162.160004
162.179993,163.039993,161.490005,161.880005,0,161.880005
161.899994,163.229996,161.220001,163.210007,0,163.210007
163.210007,163.850006,162.375,163.630005,0,163.630005
163.559998,164.639999,163.259995,164.440002,0,164.440002
164.449997,165,161.899994,162.539993,0,162.539993
162.550003,165.268005,162.380005,164.789993,0,164.789993
164.779999,164.919998,163.619995,164.289993,0,164.289993
164.259995,164.610001,163.289993,163.479996,0,163.479996
163.434006,163.5,162.360001,162.610001,0,162.610001
163.259995,163.520004,163.020004,163.279999,0,163.279999
163.380005,163.440002,162.339996,162.940002,0,162.940002
162.880005,163.020004,161.770004,162.179993,0,162.179993
162.130005,164.070007,161.970001,164.070007,0,164.070007
164.050003,164.910004,163.880005,164.330002,0,164.330002
164.339996,164.679993,163.940002,164.380005,0,164.380005
164.389999,165.679993,164.149994,165.5,0,165.5
165.490005,166.649994,165.350006,166.360001,0,166.360001
166.360001,166.440002,165,165.179993,0,165.179993
165.440002,165.479996,162.399994,163.009995,0,163.009995
163.009995,163.770004,162.509995,163.490005,0,163.490005
163.5,164.029999,160.779999,160.779999,0,160.779999
160.804001,161.600006,159.763,161.449997,0,161.449997
161.470001,161.490005,159.800003,160.270004,0,160.270004
160.139999,160.899994,159.979996,160.399994,0,160.399994
160.369995,161.421005,159.990005,160.259995,0,160.259995
160.259995,161.580002,160.089996,161.119995,0,161.119995
161.110001,162.264008,160.639999,162.210007,0,162.210007
162.220001,162.259995,160.669998,161.309998,0,161.309998
161.210007,161.429993,159.940002,160.940002,0,160.940002
160.949997,160.949997,157.720001,158.024002,0,158.024002
157.990005,158.440002,156.330002,157.365005,0,157.365005
157.369995,157.720001,155.740005,155.759995,0,155.759995
155.770004,157.740005,155.740005,156.149994,0,156.149994
153.179993,153.419998,152.910004,153.149994,0,153.149994
155.259995,156.919998,152.125,156.800003,0,156.800003
156.789993,157.080002,152.820007,156.110001,0,156.110001
156.110001,158.324997,154.869995,158.289993,0,158.289993
158.279999,159.080002,156.490005,156.699997,0,156.699997
156.839996,158.462006,155.556,158.179993,0,158.179993
158.195007,158.300003,157.110001,158.089996,0,158.089996
