CL.F.Open,CL.F.High,CL.F.Low,CL.F.Close,CL.F.Volume,CL.F.Adjusted
69.010002,69.559998,68.400002,69.099998,127212,69.099998
69.019997,69.169998,67.290001,68.190002,257224,68.190002
68.699997,69.879997,68.279999,68.650002,228408,68.650002
68.660004,69.5,68.169998,69.139999,191213,69.139999
68.849998,69.449997,67.550003,69.18,240247,69.18
69.019997,69.190002,67.599998,67.769997,199705,67.769997
67.830002,69.360001,67.07,68.970001,259461,68.970001
69,70.519997,68.919998,69.57,261461,69.57
70.099998,71.059998,69.459999,70.68,200610,70.68
70.519997,71.339996,69.57,71.089996,217108,71.089996
NA,NA,NA,NA,NA,NA
71.25,72.349998,70.800003,71.809998,226307,71.809998
71.800003,72.940002,71.559998,72.809998,219298,72.809998
72.75,73,71.809998,72.190002,227743,72.190002
72.050003,73.080002,71.599998,72.809998,214253,72.809998
72.610001,73.029999,72.080002,72.559998,207520,72.559998
72.449997,73.800003,71.919998,72.5,250479,72.5
72.720001,74.010002,72.260002,73.93,243393,73.93
74.010002,74.5,73.629997,74.150002,203487,74.150002
74.279999,75.349998,73.5,74.019997,262637,74.019997
74.209999,75.279999,73.900002,75.050003,172324,75.050003
75.07,76,74.629997,75.919998,126815,75.919998
75.959999,76.129997,75.160004,75.57,173789,75.57
75.690002,75.690002,74.440002,74.889999,166780,74.889999
74.889999,74.93,72.910004,73.559998,243495,73.559998
73.349998,76.379997,73.099998,75.879997,216078,75.879997
76.309998,77.239998,74.599998,74.949997,269575,74.949997
75.050003,77.120003,74.699997,77.019997,216573,77.019997
76.949997,77.330002,76.050003,76.830002,189456,76.830002
76.699997,78.279999,76.599998,78.209999,196464,78.209999
77.940002,78.769997,76.089996,76.529999,306683,76.529999
76.739998,77.440002,75.519997,76.860001,214006,76.860001
76.889999,77.360001,75.040001,75.480003,233021,75.480003
75.040001,75.099998,71.599998,72.059998,292987,72.059998
72.059998,72.620003,71.139999,72.419998,284128,72.419998
72.379997,73.199997,71.849998,72.150002,263747,72.150002
72.269997,72.400002,70.5,71.589996,269865,71.589996
71.589996,71.690002,70.099998,71.470001,226674,71.470001
71.470001,73.190002,71.120003,71.620003,245898,71.620003
71.550003,72.769997,71.360001,72.379997,231544,72.379997
72.690002,74.230003,72.32,73.330002,280131,73.330002
73.139999,73.139999,70.099998,71,293836,71
71.669998,72.540001,71,71.980003,170218,71.980003
71.769997,71.769997,70.050003,71.120003,138081,71.120003
70.900002,71.5,68.760002,69.470001,248510,69.470001
69.639999,70.300003,68.629997,69.260002,207894,69.260002
69.349998,70.080002,69.029999,69.830002,170980,69.830002
70.019997,71.349998,69.519997,71.089996,164270,71.089996
71.040001,72.139999,70.199997,71.970001,186005,71.970001
72.120003,72.25,71.199997,71.730003,181538,71.730003
71.580002,73.639999,71.410004,73.510002,213070,73.510002
73.5,73.959999,72.75,73.360001,180828,73.360001
73.599998,74.440002,73.400002,74.040001,180828,74.040001
73.900002,75.25,73.480003,75.080002,221913,75.080002
75.120003,75.919998,74.75,75.730003,226377,75.730003
75.879997,77.43,75.330002,76.300003,330624,76.300003
76.150002,77,75.629997,76.699997,222964,76.699997
76.459999,78.470001,75.519997,77.489998,296680,77.489998
77.790001,78.370003,76.919998,78.230003,291803,78.230003
78.160004,80.18,78.010002,79.910004,302927,79.910004
79.650002,80.199997,79.190002,80.089996,237513,80.089996
79.919998,80.360001,78.75,79.099998,257062,79.099998
79.029999,80.919998,78.25,80.57,270760,80.57
80.860001,82.379997,80.230003,81.510002,237631,81.510002
82.169998,82.510002,80.870003,81.93,203173,81.93
81.730003,83.900002,81.610001,83.32,232184,83.32
81.779999,82.400002,80.550003,81.620003,225621,81.620003
81.360001,81.599998,80.370003,80.949997,200779,80.949997
80.610001,80.620003,78.959999,79.529999,249620,79.529999
79.32,80.82,78.440002,80.300003,342097,80.300003
80.629997,83.089996,80.5,82.879997,292697,82.879997
83.25,83.760002,81.389999,81.660004,294397,81.660004
81.75,82.019997,79.449997,80.239998,269038,80.239998
80.220001,80.43,78.870003,80.050003,219221,80.050003
80.230003,80.879997,79.57,79.940002,227305,79.940002
79.68,81.75,78.910004,81.440002,252123,81.440002
81.400002,81.68,80.510002,81.220001,230873,81.220001
81.110001,81.110001,78.349998,79.019997,253108,79.019997
79.260002,81.099998,78.389999,80.260002,324878,80.260002
80.220001,81.349998,79.720001,81.300003,264143,81.300003
81.32,83.669998,81.25,83.080002,289289,83.080002
82.870003,84.050003,82.690002,83.690002,205946,83.690002
83.910004,86.709999,83.5,86.129997,238654,86.129997
86.5,88.199997,86.129997,87.610001,340705,87.610001
87.5,89,86.910004,87.400002,323886,87.400002
87.099998,89.779999,87.099998,89.470001,195959,89.470001
89.739998,90.07,87.860001,88.599998,176593,88.599998
88.860001,88.860001,86.169998,87.559998,310584,87.559998
85.769997,86.790001,84.82,85.269997,262304,85.269997
85.169998,87.790001,84.68,87.099998,296425,87.099998
87.629997,90.519997,87.540001,90.459999,282486,90.459999
90.360001,92.220001,90.199997,91.860001,318748,91.860001
91.720001,93.800003,91.519997,93.529999,279080,93.529999
93.669998,93.68,89.529999,90.379997,300422,90.379997
89.720001,95.279999,88.919998,94.529999,402154,94.529999
95.150002,96.239998,92.059998,93.489998,349181,93.489998
93.650002,96.029999,93.050003,95.93,254477,95.93
95.919998,96.120003,93.720001,93.980003,279964,93.980003
94.459999,97.099998,94.410004,96.699997,302215,96.699997
96.830002,98.639999,94.620003,96.370003,448361,96.370003
95.839996,97.699997,94.93,95.459999,347189,95.459999
95.910004,96.68,94.540001,96.32,329488,96.32
96.010002,96.349998,93.540001,94.620003,317037,94.620003
93.589996,94.699997,90.129997,91.169998,502947,91.169998
91.349998,94.370003,91.209999,94.089996,280743,94.089996
93.949997,94.639999,91.860001,93.43,226712,93.43
93.699997,95.730003,93.199997,95.099998,252035,95.099998
93.879997,95.150002,93.160004,94.639999,240219,94.639999
94.879997,98.620003,93.989998,98.029999,286533,98.029999
98.089996,99.290001,96.309998,97.290001,286533,97.290001
NA,NA,NA,NA,NA,NA
98.279999,99.120003,96.5,97.699997,231374,97.699997
96.879997,97.279999,94.209999,94.419998,266497,94.419998
94.559998,95.220001,90.330002,90.620003,353776,90.620003
91.360001,95.18,90.43,91.010002,409509,91.010002
91.190002,91.519997,88.449997,88.709999,298158,88.709999
88.790001,89.989998,87.139999,89.309998,308010,89.309998
89.68,89.989998,87.339996,88.32,281146,88.32
88.230003,90.389999,86.82,87.489998,295118,87.489998
87.269997,90.730003,85.82,90.230003,279601,90.230003
90.529999,90.68,87.07,88.279999,288371,88.279999
88.269997,89.800003,87.089996,87.860001,288602,87.860001
88.220001,90.550003,87.919998,90.019997,260035,90.019997
89.459999,94.849998,89.260002,94.389999,358039,94.389999
94.209999,94.849998,91.860001,92.25,339594,92.25
92.57,93.379997,90.599998,91.269997,234006,91.269997
91.43,91.949997,89.489998,90.629997,161950,90.629997
90.970001,92.879997,88.879997,90.489998,262878,90.489998
90.349998,92.339996,89.699997,91.239998,207862,91.239998
91.389999,92.25,90.57,91.059998,165409,91.059998
91.040001,93.839996,90.830002,93.309998,189546,93.309998
NA,NA,NA,NA,NA,NA
93.989998,96.540001,93.989998,95.970001,119876,95.970001
95.809998,97.790001,95.220001,96.620003,148819,96.620003
96.839996,97.919998,95.870003,96,143679,96
96.120003,96.779999,94.730003,95.980003,108597,95.980003
96.050003,100,96.050003,99.620003,227099,99.620003
99.230003,100.089996,98.449997,99.18,241269,99.18
99.169998,99.410004,97.099998,97.910004,231790,97.910004
97.790001,98.400002,94.470001,95.089996,258890,95.089996
95.349998,97.540001,95.260002,96.330002,287519,96.330002
96.239998,97.970001,95.419998,95.669998,346504,95.669998
95.790001,96.239998,93.260002,93.709999,315910,93.709999
93.550003,94.650002,92.309998,92.690002,293791,92.690002
92.919998,94.43,92.410004,94.199997,257790,94.199997
94.239998,94.379997,90.980003,91.900002,316087,91.900002
91.68,91.900002,89.260002,90.839996,353599,90.839996
91,92.190002,89.57,90.129997,209723,90.129997
89.900002,91.32,89.610001,90.57,164876,90.57
87.449997,91,86.110001,89.849998,347366,89.849998
89.150002,89.440002,86.650002,86.989998,261820,86.989998
87.720001,89.75,87.010002,89.410004,286687,89.410004
89.550003,91.379997,89.510002,90.709999,306715,90.709999
90.620003,91.360001,88.779999,90.989998,261940,90.989998
91.050003,92.419998,90.330002,91.639999,216738,91.639999
92.370003,92.709999,91.239998,92.330002,241095,92.330002
91.769997,92.300003,89.580002,91.75,316987,91.75
91.360001,92.120003,88.459999,88.959999,287490,88.959999
88.660004,90.830002,88.07,90.019997,229467,90.019997
89.980003,90,87.529999,88.410004,259716,88.410004
88.269997,88.940002,86.660004,87.139999,301813,87.139999
87.059998,88.400002,86.239998,88.110001,281570,88.110001
88.290001,91.980003,88,91.769997,339273,91.769997
91.760002,94.720001,90.919998,93.589996,320857,93.589996
93.610001,94.150002,92.059998,92.779999,294314,92.779999
92.5,93.889999,91.910004,93.269997,270308,93.269997
93.290001,95.589996,93.25,95.459999,271470,95.459999
95.220001,96.669998,94.660004,95.5,215228,95.5
95.370003,100.059998,95.230003,100.010002,194051,100.010002
99.980003,101.32,98.400002,100.739998,275362,100.739998
100.010002,100.330002,96.870003,98.230003,312097,98.230003
97.5,99.370003,97.160004,98.809998,245946,98.809998
98.989998,99.699997,97.75,99.230003,206041,99.230003
99.349998,101.43,98.459999,100.879997,265974,100.879997
101.199997,102.080002,99.43,99.639999,267762,99.639999
99.629997,102.970001,98.910004,102.589996,287914,102.589996
102.550003,103.050003,101.360001,101.839996,225732,101.839996
101.629997,103.949997,100.769997,102.449997,281850,102.449997
102.349998,103.330002,98.870003,99.519997,366724,99.519997
99.879997,104.949997,99.550003,104.519997,414308,104.519997
